Île-de-France,3.805370370370371
Rhône-Alpes,3.397084048027443
Provence-Alpes-Côte d'Azur,3.2876923076923092
Alsace,3.2450617283950636
Midi-Pyrénées,2.842608695652173
Haute-Normandie,2.8264
Lorraine,2.791071428571431
Franche-Comté,2.6837209302325586
Nord-Pas-de-Calais,2.643896103896105
Aquitaine,2.6358422939068116
Centre,2.5529147982062788
Pays de la Loire,2.505365853658535
Picardie,2.4191780821917814
Bretagne,2.4111111111111105
Auvergne,2.4077586206896564
Bourgogne,2.407339449541284
Languedoc-Roussillon,2.378039215686275
Basse-Normandie,2.3529411764705896
Champagne-Ardenne,2.3222222222222224
Poitou-Charentes,2.1773809523809513
Limousin,1.9921568627450974
Martinique,1.5592592592592591
Guadeloupe,1.353846153846154
Guyane,1.1
La Réunion,0.9521739130434782
